*************depth: 3, evaluation: simple*************
result:lost, player1(white):31, player2(black)33
result:lost, player1(white):30, player2(black)34
result:lost, player1(white):18, player2(black)46
result:win, player1(white):41, player2(black)23
result:lost, player1(white):30, player2(black)34
result:win, player1(white):41, player2(black)23
result:win, player1(white):42, player2(black)22
result:lost, player1(white):30, player2(black)34
result:win, player1(white):43, player2(black)21
result:lost, player1(white):27, player2(black)37
result:win, player1(white):39, player2(black)25
result:win, player1(white):39, player2(black)25
result:lost, player1(white):29, player2(black)35
result:win, player1(white):34, player2(black)30
result:lost, player1(white):31, player2(black)33
result:win, player1(white):39, player2(black)25
result:draw, player1(white):32, player2(black)32
result:win, player1(white):55, player2(black)9
result:lost, player1(white):27, player2(black)37
result:win, player1(white):38, player2(black)26
result:lost, player1(white):31, player2(black)33
result:lost, player1(white):27, player2(black)37
result:lost, player1(white):25, player2(black)39
result:lost, player1(white):26, player2(black)37
result:win, player1(white):39, player2(black)25
result:win, player1(white):35, player2(black)29
result:win, player1(white):36, player2(black)28
result:lost, player1(white):22, player2(black)42
result:win, player1(white):42, player2(black)22
result:lost, player1(white):22, player2(black)42
result:lost, player1(white):29, player2(black)35
result:win, player1(white):39, player2(black)25
result:win, player1(white):44, player2(black)20
result:lost, player1(white):26, player2(black)38
result:lost, player1(white):31, player2(black)33
result:win, player1(white):36, player2(black)28
result:win, player1(white):34, player2(black)30
result:lost, player1(white):24, player2(black)40
result:lost, player1(white):20, player2(black)44
result:lost, player1(white):19, player2(black)45
result:lost, player1(white):27, player2(black)37
result:win, player1(white):48, player2(black)16
result:lost, player1(white):27, player2(black)37
result:lost, player1(white):23, player2(black)41
result:win, player1(white):47, player2(black)17
result:win, player1(white):34, player2(black)30
result:win, player1(white):41, player2(black)23
result:win, player1(white):40, player2(black)24
result:lost, player1(white):26, player2(black)38
result:lost, player1(white):26, player2(black)38
----------------------------
wins number:23 out of 50, win radio:0.46, player1(white) average:32.84, player2(black) average:31.14
----------------------------

*************depth: 2, evaluation: simple*************
result:win, player1(white):35, player2(black)29
result:win, player1(white):42, player2(black)22
result:lost, player1(white):26, player2(black)38
result:win, player1(white):36, player2(black)28
result:win, player1(white):45, player2(black)19
result:win, player1(white):34, player2(black)30
result:win, player1(white):45, player2(black)19
result:win, player1(white):45, player2(black)19
result:win, player1(white):60, player2(black)2
result:win, player1(white):43, player2(black)21
result:win, player1(white):41, player2(black)23
result:lost, player1(white):25, player2(black)39
result:win, player1(white):35, player2(black)29
result:lost, player1(white):22, player2(black)42
result:lost, player1(white):31, player2(black)33
result:win, player1(white):38, player2(black)26
result:win, player1(white):34, player2(black)30
result:win, player1(white):36, player2(black)28
result:win, player1(white):54, player2(black)10
result:lost, player1(white):22, player2(black)42
result:win, player1(white):57, player2(black)7
result:win, player1(white):56, player2(black)8
result:lost, player1(white):30, player2(black)34
result:win, player1(white):52, player2(black)12
result:win, player1(white):52, player2(black)12
result:win, player1(white):37, player2(black)27
result:win, player1(white):48, player2(black)16
result:win, player1(white):38, player2(black)26
result:win, player1(white):35, player2(black)29
result:lost, player1(white):16, player2(black)48
result:win, player1(white):56, player2(black)8
result:win, player1(white):49, player2(black)0
result:lost, player1(white):31, player2(black)33
result:win, player1(white):44, player2(black)20
result:win, player1(white):45, player2(black)19
result:win, player1(white):44, player2(black)20
result:win, player1(white):38, player2(black)26
result:win, player1(white):42, player2(black)22
result:lost, player1(white):25, player2(black)39
result:lost, player1(white):26, player2(black)38
result:win, player1(white):34, player2(black)30
result:win, player1(white):49, player2(black)1
result:lost, player1(white):28, player2(black)36
result:win, player1(white):38, player2(black)26
result:lost, player1(white):27, player2(black)37
result:win, player1(white):60, player2(black)4
result:win, player1(white):35, player2(black)29
result:win, player1(white):38, player2(black)26
result:win, player1(white):56, player2(black)1
result:win, player1(white):47, player2(black)17
----------------------------
wins number:38 out of 50, win radio:0.76, player1(white) average:39.64, player2(black) average:23.6
----------------------------

*************depth: 1, evaluation: simple*************
result:win, player1(white):52, player2(black)12
result:lost, player1(white):22, player2(black)42
result:lost, player1(white):28, player2(black)36
result:lost, player1(white):21, player2(black)43
result:win, player1(white):37, player2(black)27
result:lost, player1(white):18, player2(black)46
result:draw, player1(white):32, player2(black)32
result:win, player1(white):33, player2(black)31
result:win, player1(white):41, player2(black)23
result:win, player1(white):38, player2(black)26
result:lost, player1(white):31, player2(black)33
result:win, player1(white):39, player2(black)25
result:win, player1(white):50, player2(black)14
result:lost, player1(white):18, player2(black)46
result:lost, player1(white):24, player2(black)40
result:lost, player1(white):25, player2(black)39
result:lost, player1(white):24, player2(black)40
result:win, player1(white):45, player2(black)19
result:win, player1(white):35, player2(black)29
result:win, player1(white):40, player2(black)24
result:win, player1(white):37, player2(black)27
result:lost, player1(white):23, player2(black)40
result:lost, player1(white):29, player2(black)35
result:win, player1(white):36, player2(black)28
result:win, player1(white):38, player2(black)26
result:lost, player1(white):30, player2(black)34
result:lost, player1(white):31, player2(black)33
result:lost, player1(white):26, player2(black)38
result:win, player1(white):40, player2(black)24
result:win, player1(white):48, player2(black)16
result:win, player1(white):43, player2(black)21
result:win, player1(white):35, player2(black)29
result:lost, player1(white):24, player2(black)40
result:lost, player1(white):23, player2(black)41
result:lost, player1(white):9, player2(black)55
result:lost, player1(white):24, player2(black)40
result:lost, player1(white):30, player2(black)34
result:win, player1(white):40, player2(black)24
result:lost, player1(white):29, player2(black)35
result:win, player1(white):43, player2(black)21
result:lost, player1(white):16, player2(black)48
result:win, player1(white):38, player2(black)26
result:lost, player1(white):27, player2(black)37
result:lost, player1(white):25, player2(black)39
result:win, player1(white):51, player2(black)13
result:lost, player1(white):31, player2(black)33
result:lost, player1(white):29, player2(black)35
result:win, player1(white):35, player2(black)29
result:win, player1(white):34, player2(black)30
result:win, player1(white):44, player2(black)20
----------------------------
wins number:24 out of 50, win radio:0.48, player1(white) average:32.42, player2(black) average:31.56
----------------------------

*************depth: 2, evaluation: simple*************
result:win, player1(white):44, player2(black)20
result:lost, player1(white):19, player2(black)45
result:lost, player1(white):28, player2(black)36
result:win, player1(white):61, player2(black)2
result:win, player1(white):44, player2(black)20
result:win, player1(white):35, player2(black)29
result:win, player1(white):49, player2(black)15
result:win, player1(white):33, player2(black)31
result:win, player1(white):57, player2(black)7
result:lost, player1(white):27, player2(black)37
result:lost, player1(white):13, player2(black)51
result:lost, player1(white):27, player2(black)37
result:lost, player1(white):22, player2(black)42
result:lost, player1(white):25, player2(black)39
result:win, player1(white):44, player2(black)20
result:win, player1(white):54, player2(black)10
result:win, player1(white):38, player2(black)26
result:win, player1(white):55, player2(black)9
result:win, player1(white):34, player2(black)30
result:win, player1(white):47, player2(black)17
result:win, player1(white):49, player2(black)15
result:win, player1(white):54, player2(black)10
result:win, player1(white):34, player2(black)30
result:win, player1(white):35, player2(black)29
result:win, player1(white):36, player2(black)0
result:win, player1(white):52, player2(black)12
result:lost, player1(white):30, player2(black)34
result:win, player1(white):51, player2(black)12
result:win, player1(white):45, player2(black)18
result:win, player1(white):24, player2(black)0
result:lost, player1(white):27, player2(black)37
result:win, player1(white):51, player2(black)13
result:lost, player1(white):30, player2(black)34
result:win, player1(white):45, player2(black)19
result:win, player1(white):62, player2(black)0
result:lost, player1(white):29, player2(black)35
result:win, player1(white):54, player2(black)10
result:lost, player1(white):31, player2(black)33
result:lost, player1(white):19, player2(black)45
result:win, player1(white):46, player2(black)18
result:win, player1(white):46, player2(black)18
result:draw, player1(white):32, player2(black)32
result:win, player1(white):43, player2(black)21
result:win, player1(white):56, player2(black)8
result:win, player1(white):52, player2(black)12
result:win, player1(white):55, player2(black)9
result:win, player1(white):51, player2(black)13
result:lost, player1(white):19, player2(black)45
result:win, player1(white):42, player2(black)22
result:win, player1(white):45, player2(black)19
----------------------------
wins number:35 out of 50, win radio:0.7, player1(white) average:40.02, player2(black) average:22.52
----------------------------

*************depth: 1, evaluation: good*************
result:lost, player1(white):30, player2(black)34
result:draw, player1(white):32, player2(black)32
result:lost, player1(white):12, player2(black)52
result:win, player1(white):35, player2(black)29
result:lost, player1(white):23, player2(black)41
result:win, player1(white):38, player2(black)26
result:draw, player1(white):32, player2(black)32
result:win, player1(white):35, player2(black)29
result:win, player1(white):36, player2(black)28
result:win, player1(white):36, player2(black)28
result:lost, player1(white):29, player2(black)35
result:lost, player1(white):20, player2(black)44
result:lost, player1(white):27, player2(black)37
result:win, player1(white):35, player2(black)29
result:win, player1(white):48, player2(black)16
result:win, player1(white):42, player2(black)22
result:lost, player1(white):31, player2(black)33
result:win, player1(white):48, player2(black)16
result:win, player1(white):49, player2(black)15
result:win, player1(white):51, player2(black)13
result:win, player1(white):49, player2(black)15
result:lost, player1(white):22, player2(black)42
result:win, player1(white):41, player2(black)23
result:win, player1(white):37, player2(black)27
result:lost, player1(white):29, player2(black)35
result:win, player1(white):34, player2(black)30
result:lost, player1(white):30, player2(black)34
result:win, player1(white):35, player2(black)29
result:lost, player1(white):21, player2(black)43
result:win, player1(white):33, player2(black)31
result:lost, player1(white):26, player2(black)38
result:lost, player1(white):31, player2(black)33
result:draw, player1(white):32, player2(black)32
result:win, player1(white):34, player2(black)30
result:win, player1(white):38, player2(black)26
result:win, player1(white):38, player2(black)26
result:lost, player1(white):14, player2(black)50
result:lost, player1(white):26, player2(black)38
result:win, player1(white):33, player2(black)31
result:lost, player1(white):31, player2(black)33
result:lost, player1(white):31, player2(black)33
result:win, player1(white):40, player2(black)24
result:win, player1(white):33, player2(black)31
result:lost, player1(white):6, player2(black)57
result:lost, player1(white):27, player2(black)37
result:win, player1(white):37, player2(black)27
result:win, player1(white):44, player2(black)20
result:win, player1(white):44, player2(black)20
result:win, player1(white):38, player2(black)26
result:lost, player1(white):29, player2(black)35
----------------------------
wins number:27 out of 50, win radio:0.54, player1(white) average:33.04, player2(black) average:30.94
----------------------------

*************depth: 2, evaluation: good*************
result:win, player1(white):61, player2(black)3
result:win, player1(white):55, player2(black)8
result:win, player1(white):44, player2(black)20
result:win, player1(white):40, player2(black)0
result:win, player1(white):59, player2(black)3
result:win, player1(white):47, player2(black)0
result:win, player1(white):51, player2(black)13
result:win, player1(white):48, player2(black)16
result:win, player1(white):62, player2(black)1
result:win, player1(white):46, player2(black)18
result:win, player1(white):46, player2(black)18
result:win, player1(white):56, player2(black)7
result:win, player1(white):51, player2(black)13
result:win, player1(white):58, player2(black)5
result:win, player1(white):52, player2(black)12
result:win, player1(white):44, player2(black)20
result:draw, player1(white):32, player2(black)32
result:win, player1(white):52, player2(black)12
result:win, player1(white):41, player2(black)23
result:win, player1(white):58, player2(black)5
result:win, player1(white):49, player2(black)15
result:win, player1(white):55, player2(black)9
result:win, player1(white):53, player2(black)10
result:win, player1(white):51, player2(black)13
result:win, player1(white):43, player2(black)21
result:lost, player1(white):26, player2(black)37
result:win, player1(white):43, player2(black)21
result:win, player1(white):44, player2(black)20
result:win, player1(white):34, player2(black)30
result:win, player1(white):49, player2(black)15
result:win, player1(white):42, player2(black)22
result:win, player1(white):50, player2(black)14
result:win, player1(white):59, player2(black)0
result:win, player1(white):52, player2(black)12
result:win, player1(white):48, player2(black)16
result:win, player1(white):42, player2(black)22
result:win, player1(white):47, player2(black)17
result:win, player1(white):52, player2(black)12
result:win, player1(white):59, player2(black)4
result:win, player1(white):49, player2(black)15
result:win, player1(white):54, player2(black)2
result:win, player1(white):53, player2(black)11
result:win, player1(white):59, player2(black)5
result:win, player1(white):51, player2(black)13
result:win, player1(white):49, player2(black)15
result:win, player1(white):47, player2(black)17
result:win, player1(white):57, player2(black)6
result:win, player1(white):53, player2(black)11
result:win, player1(white):47, player2(black)17
result:win, player1(white):39, player2(black)23
----------------------------
wins number:48 out of 50, win radio:0.96, player1(white) average:49.18, player2(black) average:13.48
----------------------------

